Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment
0,PMR 1,446.006250,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,PMR-446 ch1 (license-free <=0.5W)
1,PMR 2,446.018750,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,PMR-446 ch2 (license-free <=0.5W)
2,PMR 3,446.031250,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,PMR-446 ch3 (license-free <=0.5W)
3,PMR 4,446.043750,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,PMR-446 ch4 (license-free <=0.5W)
4,PMR 5,446.056250,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,PMR-446 ch5 (license-free <=0.5W)
5,PMR 6,446.068750,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,PMR-446 ch6 (license-free <=0.5W)
6,PMR 7,446.081250,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,PMR-446 ch7 (license-free <=0.5W)
7,PMR 8,446.093750,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,PMR-446 ch8 (license-free <=0.5W)
8,PMR 9,446.106250,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,PMR-446 ch9 (license-free <=0.5W)
9,PMR 10,446.118750,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,PMR-446 ch10 (license-free <=0.5W)
10,PMR 11,446.131250,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,PMR-446 ch11 (license-free <=0.5W)
11,PMR 12,446.143750,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,PMR-446 ch12 (license-free <=0.5W)
12,PMR 13,446.156250,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,PMR-446 ch13 (license-free <=0.5W)
13,PMR 14,446.168750,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,PMR-446 ch14 (license-free <=0.5W)
14,PMR 15,446.181250,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,PMR-446 ch15 (license-free <=0.5W)
15,PMR 16,446.193750,,0.000000,,88.5,88.5,023,NN,NFM,12.50,,PMR-446 ch16 (license-free <=0.5W)
16,LPD 1,433.075000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,,LPD-433 ch1 (license-free <=10mW)
17,LPD 2,433.100000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,,LPD-433 ch2 (license-free <=10mW)
18,LPD 3,433.125000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,,LPD-433 ch3 (license-free <=10mW)
19,LPD 4,433.150000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,,LPD-433 ch4 (license-free <=10mW)
20,LPD 5,433.175000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,,LPD-433 ch5 (license-free <=10mW)
21,LPD 6,433.200000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,,LPD-433 ch6 (license-free <=10mW)
22,LPD 7,433.225000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,,LPD-433 ch7 (license-free <=10mW)
23,LPD 8,433.250000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,,LPD-433 ch8 (license-free <=10mW)
24,LPD 9,433.275000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,,LPD-433 ch9 (license-free <=10mW)
25,LPD 10,433.300000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,,LPD-433 ch10 (license-free <=10mW)
26,LPD 11,433.325000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,,LPD-433 ch11 (license-free <=10mW)
27,LPD 12,433.350000,,0.000000,,88.5,88.5,023,NN,NFM,25.00,,LPD-433 ch12 (license-free <=10mW)
